firm_0,firm_1,firm_2,firm_3,firm_4,firm_5,firm_6,firm_7,firm_8,firm_9
38.88881111111111,22.22217777777778,16.66663333333333,11.111088888888887,38.88881111111111,11.111088888888887,5.555544444444443,38.88881111111111,44.44435555555555,16.66663333333333
110.95382139350043,73.69694125434026,294.6302174153646,83.17569611545137,121.24882286241319,263.33721418185763,85.26439286369637,69.77381551784939,54.739439161512585,109.32116136067705
168.63717403021917,954.783056283538,294.6306888286596,1600.3310360400883,178.93240910373265,572.1352376834757,1628.0715994372451,240.95362782105767,130.44931081678604,1059.2169465642755
487.25702201149653,2081.7872621330484,294.6312819441031,1958.6961621059224,213.71931091037328,1216.1377899936874,2988.803566281469,1206.9573231809065,770.4647027182223,2025.220641924124
825.6589134498051,3338.919963604797,294.6327052158882,2141.4204248880405,213.71931091037328,1965.6683130237934,4004.008311446006,2222.162068345443,1616.468742080596,3113.1526375937106
1201.273512407645,4314.319366500946,294.63322168542516,2266.580817769985,230.55710395779082,2268.5556614765833,5058.1238676289295,3494.4593760435178,2446.413643966644,3864.3813251578285
1296.5884011017135,5014.039448108032,294.6337027428182,2347.3872067456796,831.4373640232897,2968.27574308367,6748.472522511742,3844.3196415052644,3954.94417258683,4709.555907775016
3322.9483086616883,5785.351265554962,294.6342330195033,2375.682099435024,1795.577023502851,3739.5875605306005,6748.4728171099005,4120.884929646935,4919.083832066392,4709.555907775016
3540.5469610922437,6619.088986322205,294.6342967077782,2587.3266638664477,2837.7490316152252,4573.3252812978435,6748.474976879144,5272.147813516885,5961.2558401787655,4709.556368106998
3731.7673811117747,7496.207017148041,294.63848164843824,2752.649450954121,3934.1463815244742,5450.443312123681,6748.475579897536,5601.616238865588,7057.6531900880145,4709.556368106998
3731.767979016274,8365.886632446534,294.6390795529375,2864.8244491312043,5021.245757800911,6320.122927422174,6748.475912066702,6834.170116152125,8144.752566364451,4709.659419281957
3731.7685872923303,9359.742999967446,294.6396878289942,3066.604959200649,5981.747932871934,7204.888419185511,6748.4784024824685,7063.108313938584,9250.709242445575,4709.659419281957
3731.7692043128654,9504.595934456378,294.6403048495296,3227.361923263149,8110.178874325533,8102.3731492300985,6748.478745271655,7154.304917985893,10372.565088448573,4712.45390541833
3731.7697235625615,10160.038730882554,294.6408890054376,3349.5655832891907,9431.165637656104,8960.135586769557,6748.480112119376,7728.153641384923,1102.5059801570394,4716.702752168547
3731.7707258070427,809.1249167011913,294.6408890054376,3440.323605294399,10417.31908491581,9749.058483268727,6748.485363646095,8814.568036803958,2998.0006977864587,4736.425001486988
3731.771231508162,2134.6956939857555,294.64396009846115,3501.404313389017,847.5980180900806,10410.975334821364,6748.498126963844,10394.789494504006,4733.751734670928,4810.754742434796
3731.7717999480014,3547.1760147026903,294.650393798037,3546.770126871005,2516.2284557676376,713.2607162247477,6748.517527994533,1166.8604106514363,5367.265338057332,4826.52780769901
3731.772209367447,4731.364513335503,294.6505473303291,3575.0282404289474,5059.4388975329475,1800.479562332308,6748.538551549768,1565.0159152689002,6726.288523963267,5323.81381041267
3731.7729056837093,4731.365162576868,294.6528258788246,3575.0282404289474,6475.966111759194,2933.701582267993,6748.572944020581,3831.4585902965205,8142.815738189514,6446.419743947235
3731.7737983113357,4731.369514070262,294.65298933206924,3683.3406040682703,7907.141763485441,4078.6423522036785,6748.735865823483,6266.793488252644,9573.991389915762,6961.545391837268
3731.775139551879,4731.398553131278,294.65392533960545,3734.577557349249,9582.742201389876,5399.728996162801,6748.736317856207,6830.367840128828,11152.622175294944,7440.7703174853505
3731.775560756332,4731.560223305427,294.65766417531324,3944.546165131663,10673.956533375751,6514.680690774938,6748.736992856984,8455.320157478101,2346.568901854482,8670.892168262655
3731.77582863608,4732.483429855919,294.69247535423125,4077.4232870717674,1451.8892673749212,7640.838866704152,6748.73986175685,10847.029017220051,4228.338906534091,9369.83918780081
3731.779016777673,4738.3145295475215,294.75872711813537,4174.937290522288,3498.4629139421563,8870.411287622319,6748.744508437553,575.3929368963068,6246.629747040719,9480.979601952087
3731.7837282428113,4768.5963144223315,294.7591613362311,4232.819620795725,5207.3636472399785,9887.172118491559,6748.748689893693,2614.760177320076,8588.180688529828,10505.051718310988
3731.78810853999,5059.548922095745,294.75979113625846,4279.756319830013,5594.425040228951,10422.345072998543,6748.762602567638,3511.607062197167,10796.20219504419,482.74381880326735
3731.7914867639133,5975.602284646053,294.7598397081073,4307.769919770334,7250.735076517619,1921.550037730824,6748.796059409027,3740.052835221354,0.0,2736.337052065578
3731.7918012263035,7045.780672459736,294.76036502491394,4321.50530841983,7543.008979993787,4617.90644968237,6748.901358813614,6065.046598538116,0.0,3114.4696329944964
3731.7925533115904,7981.338943085919,294.76876136045234,4341.110813742095,7865.710404221908,5908.70487823548,6749.033229114509,9008.885343613874,0.0,4050.0279036206803
3731.7933291675326,8957.071041837102,294.78007615774237,4353.8798610701115,8201.136865071123,7250.403087062026,6749.205375426234,11021.431364080257,0.0,5025.760002371864
3731.7981846593457,9945.627676227885,294.79536694546766,4362.292015494482,8540.315578055952,8607.110182360717,6749.432564407137,0.0,0.0,6014.316636762647
3731.8046995044224,10875.911422435074,294.7981856426844,4367.61932257456,8862.17187282789,9894.527971018782,6749.720658950546,0.0,0.0,6944.600382969837
3731.814513715561,1089.1606777541035,294.9449530669341,4371.458036447173,9225.047874248838,11333.296348094224,6750.2549505921625,0.0,0.0,8084.670107188586
3731.8296017195926,2571.5985253866793,294.9451435450838,4374.322371945898,9542.427212930084,0.0,6750.255268055746,0.0,0.0,8084.671151642223
3731.8357467821006,3579.9217761363634,294.9480696852391,4375.82457295781,11243.839480078128,0.0,6750.255268055746,0.0,0.0,8084.675283207737
3731.945131883281,4773.889983587831,294.9485396585547,4380.106115394791,0.0,0.0,6750.262264835871,0.0,0.0,8084.68404813171
3732.000737539513,7070.1580338955955,294.94877288165,4380.1064885517435,0.0,0.0,6750.291780133784,0.0,0.0,8084.7110307576
3732.0667290459824,8204.063678420927,294.95019557240624,4380.1071677254295,0.0,0.0,6750.292211468447,0.0,0.0,8085.060197458122
3732.1576952562405,9910.977885061553,294.95071313141597,4380.107627777883,0.0,0.0,6750.2927290274565,0.0,0.0,8087.1327891827295
3732.288832085556,9910.979123490983,294.95125974798106,4380.108444189898,0.0,0.0,6750.293275644021,0.0,0.0,8099.967300591217
3732.5138328261583,9911.00102511415,294.9518338006107,4380.109285478923,0.0,0.0,6750.293785913025,0.0,0.0,8182.571267591543
3732.6840529113233,9911.36920709191,294.9520910539751,4380.112338136242,0.0,0.0,6750.294797709151,0.0,0.0,9069.463923328602
3732.7846753132812,9919.724320529816,294.95372651699404,4380.1148418472,0.0,0.0,6750.295303353401,0.0,0.0,9994.448559046128
3732.8236434429477,9972.272451627414,294.95920801374314,4380.116985474289,0.0,0.0,6750.295811537485,0.0,0.0,10923.312162048811
3732.9854162010924,0.0,294.95964144894583,4380.118641290135,0.0,0.0,6750.296244972687,0.0,0.0,843.5905045868844
3734.9637023876076,0.0,294.95964144894583,4380.119778015545,0.0,0.0,6750.296438950157,0.0,0.0,1803.3590111032197
3735.780331403721,0.0,294.9615213096348,4380.121087994791,0.0,0.0,6750.297997777689,0.0,0.0,2788.5426553385414
3746.9914700226986,0.0,294.96495089031185,4380.121087994791,0.0,0.0,6750.2981325444325,0.0,0.0,3864.8917516749525
3762.685178230232,0.0,294.97250522696004,4380.128446456259,0.0,0.0,6750.299865215675,0.0,0.0,4486.725481359494
3782.461292587735,0.0,294.9870955013894,4380.133497834682,0.0,0.0,6750.302411826423,0.0,0.0,5682.232414609967
3805.524122134854,0.0,295.008600090341,4380.136820824729,0.0,0.0,6750.305712016677,0.0,0.0,6239.854361508642
3839.116909347311,0.0,295.1219172091288,4380.138641948836,0.0,0.0,6750.307208855769,0.0,0.0,6539.162029181463
3896.614440087328,0.0,295.12229983439704,4380.147879757171,0.0,0.0,6750.343089974448,0.0,0.0,7913.914399002722
3929.7888435954933,0.0,295.1239286261406,4380.151960956436,0.0,0.0,6750.343473768061,0.0,0.0,9135.818868433356
