firm_0,firm_1,firm_2,firm_3,firm_4,firm_5,firm_6,firm_7,firm_8,firm_9
99.9999,11.111088888888887,0.0,27.777722222222224,5.555544444444443,5.555544444444443,38.88881111111111,11.111088888888887,16.66663333333333,22.22217777777778
100.00062912365905,297.7218127170139,269.1072276031805,130.13886254882811,192.23679938299023,83.14592362541512,131.01420702175562,82.76376984592012,293.0413502278646,175.76376760525173
100.00098911910807,476.0558922471788,1090.9157269432612,326.95024172141314,1174.042840698489,1944.9441634691652,131.01468701568766,1433.2218331173062,293.0415302255891,558.0012830586135
100.00269267777712,767.8954751001222,1502.6979701379037,2325.932019870087,2054.285594147037,1944.9447076025333,131.01510061943412,2818.2886610371297,293.04248455363734,1115.2380272633563
100.0028072641765,966.8902321313722,3002.738208938015,2852.0838031373296,3554.325832947148,1944.9452232413305,131.01879913962662,4385.369249513692,293.0533877240256,1828.8947765866676
100.00355933397088,1120.6471826305042,4734.8084770350015,3754.4828176141286,5577.3051030643355,1944.9458186404556,131.01906376146,4385.369381824608,293.05562616131425,2911.4388550115414
100.0219881694238,1250.9082970836291,6661.98287110855,4477.173641172959,5577.305618315844,1944.9460394625305,131.02047910865102,4385.371711467657,293.10260247272834,4043.1958684782394
100.03746320398655,1356.3429005775527,8490.244423385224,5162.772057505227,5577.305618315844,1944.9498851498506,131.02648637470293,4385.379603117357,293.1791370391692,5642.92468370275
100.05042925470543,1440.9173084877089,10299.497186599398,5841.242238974214,5577.305618315844,1944.950507080435,131.05085628415895,4385.405269627535,293.30240442286913,7226.020930567886
100.0618711360124,1467.4830990272596,2051.637083672664,6560.606522597557,5577.3273760646125,1944.9511609417632,131.1532109571313,4385.526171893963,293.5094163407569,8904.536789816624
100.06430764201919,1817.3051336562644,4011.762874033302,7202.531292060744,5577.3886245675985,1944.9513686231676,131.56463761465966,4385.526171893963,293.6521752323076,10402.360388323174
100.08432813495834,2030.1739412517504,7175.303945130998,7662.376574707524,5580.805910145754,1944.9521449846486,133.15872506379702,4385.526171893963,294.3160131872739,1485.429265774937
100.13996793543272,2177.763058634563,9898.205856072444,9146.655123062164,5580.805910145754,1944.9637981098215,138.68511308056134,4391.581163055733,294.3160131872739,3922.5140712949815
100.43640056669221,2219.8686364665946,12885.947854904514,9934.942622609395,5580.805910145754,1945.0042767433683,159.70685818689813,4410.007252417983,338.43824774334485,5789.853393416588
101.93914315227707,2580.8197102740037,2932.801053736585,10472.984057999427,5580.805910145754,1945.0048284732436,235.82098339306134,4410.007252417983,402.3404069040436,7676.894953931897
109.35952769546283,3744.2979323265604,6541.380546101642,519.1131313535748,5580.805910145754,1945.0050067605748,693.3815000035021,4990.634522322102,415.21953092476843,7914.751561949574
262.6002428430323,3852.3224145992385,8329.462601943262,1493.456433707189,5581.066649290482,1945.0063092929372,1665.599600687096,5098.6590045947805,923.385444783078,9572.999534814946
358.90085382393505,4165.338914395047,9871.527690011444,2950.258842506116,5582.213736523792,1945.0106089335172,1665.6000662689928,5470.261340754227,1683.0952219847825,11689.795103963463
423.06026336169543,5049.506779528806,11499.851780456915,4446.736504844342,5587.5634656680795,1945.0251538666482,1665.6000662689928,6172.838022980789,2890.268477954637,1323.1924283242581
440.5331138886323,6158.641201013181,0.0,6859.655583241596,5641.954754909616,1945.0516839010368,1665.603036641653,6172.838330534679,4129.309139602365,1696.118379061119
612.4555607791681,6158.641759086145,0.0,7944.7880405451,5917.0040540395885,1945.577817265799,1665.603036641653,6172.839674208378,4474.300179668061,4061.0435363409483
873.4603091634,6158.642500120326,0.0,8739.929995302637,6906.0798424273735,1945.6697306697233,1665.6240787668582,6172.841088004644,4721.569448493523,5885.266056902028
1737.5594178991944,6158.64335176769,0.0,9732.46888763021,7893.621573197971,1946.1185591700896,1665.7169947654602,6172.856438003206,4968.455233432266,7676.962611039102
2348.9641296623327,6158.6440298024,0.0,11493.350771586965,8592.369785902161,1947.7858616347232,1665.7173126701848,6172.89086240367,5147.061611139515,9699.034252693931
3145.853427890709,6158.6447795708345,0.0,1054.751403123027,9503.100356980129,1955.354310776162,1665.7174951912766,6172.93992275593,5354.730903762522,11434.867585944405
4261.763606211021,6158.645135211592,0.0,2615.9831282650725,10778.426184714504,2089.1678455994934,1665.7193718847914,6172.992572356944,5622.249634368878,0.0
4261.76419420619,6158.650007724755,0.0,4359.375314216382,6.533279653845561e-05,3512.3565884696013,1665.7193718847914,6173.697228741942,5928.009208468764,0.0
4261.764509557139,6158.653530502326,0.0,5779.121748214568,0.0009162997022581596,4460.454877141477,1665.7193718847914,6174.415176890966,6151.622054053025,0.0
